graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
BA,5.0,50000,249985,30135,30135,1.0,True,0.24783072993159294,30764,1.0208727393396384,True,2.8458138529676944,30879,1.024688899950224,True,17.444632066995837,1,0,0
BA,5.0,50000,249985,30025,30025,1.0,True,0.2391336050350219,30700,1.02248126561199,True,2.8069563310127705,30730,1.023480432972523,True,17.777187671978027,1,0,0
BA,5.0,50000,249985,30138,30138,1.0,True,0.2585225210059434,30790,1.021633817771584,True,2.91619765793439,30820,1.0226292388346938,True,17.307092380011454,1,0,0
BA,5.0,50000,249985,30125,30125,1.0,True,0.2882088359910995,30734,1.0202157676348547,True,2.8886756550054997,30841,1.0237676348547717,True,18.300132695934735,1,0,0
BA,2.0,100000,199997,45045,45045,1.0,True,0.25097267993260175,46088,1.0231546231546231,True,8.222157074022107,46096,1.0233322233322233,True,21.724185333936475,1,0,0
BA,2.0,100000,199997,45094,45094,1.0,True,0.2567260640207678,46099,1.0222867787288774,True,8.302101592998952,46103,1.0223754823258082,True,21.818950938992202,1,0,0
BA,2.0,100000,199997,45069,45069,1.0,True,0.21397049096412957,46107,1.0230313519270453,True,8.190824043005705,46135,1.0236526215358672,True,20.250190105987713,1,0,0
BA,2.0,100000,199997,44905,44905,1.0,True,0.2042302859481424,45920,1.0226032735775525,True,8.057403034996241,45964,1.0235831199198309,True,20.604448258993216,1,0,0
BA,2.0,100000,199997,45035,45035,1.0,True,0.31925894191954285,46049,1.0225158210280894,True,8.558858177973889,46311,1.0283335183745976,True,23.09783903893549,1,0,0
BA,5.0,100000,499985,60320,60320,1.0,True,0.6484199110418558,61626,1.0216511936339523,True,11.382984498050064,61762,1.0239058355437667,True,39.779211109969765,1,0,0
